ID,cookingTime,ingredientsCount,isSimple
127244.0,60.0,16.0,0.0
23891.0,25.0,7.0,0.0
94746.0,10.0,6.0,0.0
67660.0,5.0,6.0,0.0
157911.0,60.0,14.0,0.0
152828.0,40.0,7.0,0.0
33941.0,18.0,9.0,0.0
446597.0,15.0,5.0,1.0
366174.0,7.0,9.0,0.0
74205.0,20.0,7.0,0.0
504666.0,65.0,20.0,0.0
81006.0,12.0,7.0,0.0
280968.0,65.0,11.0,0.0
204134.0,5.0,3.0,1.0
18593.0,35.0,7.0,0.0
25623.0,6.0,4.0,1.0
65559.0,24.0,14.0,0.0
99836.0,65.0,7.0,0.0
87775.0,65.0,13.0,0.0
425704.0,40.0,12.0,0.0
101799.0,10.0,8.0,0.0
106325.0,65.0,11.0,0.0
99283.0,65.0,6.0,0.0
179504.0,65.0,11.0,0.0
276123.0,60.0,7.0,0.0
498382.0,65.0,18.0,0.0
197140.0,40.0,6.0,0.0
484223.0,18.0,4.0,1.0
385472.0,65.0,9.0,0.0
63150.0,65.0,4.0,0.0
378114.0,20.0,11.0,0.0
318295.0,65.0,7.0,0.0
259784.0,65.0,9.0,0.0
308301.0,65.0,11.0,0.0
422795.0,30.0,7.0,0.0
104773.0,65.0,11.0,0.0
114103.0,65.0,11.0,0.0
496430.0,40.0,10.0,0.0
160325.0,45.0,7.0,0.0
328135.0,15.0,6.0,0.0
69317.0,10.0,8.0,0.0
70453.0,25.0,4.0,0.0
52233.0,25.0,8.0,0.0
63368.0,55.0,8.0,0.0
66842.0,2.0,4.0,1.0
337928.0,55.0,4.0,0.0
95046.0,15.0,6.0,0.0
140245.0,5.0,5.0,1.0
299022.0,25.0,6.0,0.0
292204.0,20.0,8.0,0.0
141000.0,35.0,16.0,0.0
39771.0,16.0,9.0,0.0
104103.0,15.0,8.0,0.0
402696.0,20.0,6.0,0.0
17980.0,40.0,8.0,0.0
75313.0,65.0,5.0,0.0
256227.0,65.0,10.0,0.0
98524.0,40.0,3.0,0.0
44512.0,50.0,20.0,0.0
377936.0,65.0,5.0,0.0
87295.0,20.0,3.0,1.0
94928.0,5.0,5.0,1.0
210528.0,65.0,3.0,0.0
122690.0,65.0,7.0,0.0
305350.0,20.0,14.0,0.0
192462.0,65.0,11.0,0.0
292055.0,30.0,6.0,0.0
85055.0,65.0,10.0,0.0
289281.0,13.0,6.0,0.0
390805.0,65.0,9.0,0.0
61760.0,20.0,8.0,0.0
117261.0,20.0,8.0,0.0
229757.0,20.0,6.0,0.0
80468.0,65.0,9.0,0.0
219096.0,65.0,13.0,0.0
198272.0,25.0,7.0,0.0
317583.0,65.0,4.0,0.0
43395.0,65.0,13.0,0.0
360691.0,13.0,4.0,1.0
229471.0,30.0,5.0,0.0
297759.0,65.0,5.0,0.0
524989.0,45.0,15.0,0.0
421800.0,65.0,6.0,0.0
337996.0,65.0,12.0,0.0
301392.0,65.0,6.0,0.0
195867.0,25.0,13.0,0.0
122909.0,65.0,8.0,0.0
274705.0,50.0,6.0,0.0
36681.0,55.0,11.0,0.0
330982.0,10.0,6.0,0.0
196007.0,65.0,17.0,0.0
42314.0,60.0,5.0,0.0
356706.0,65.0,10.0,0.0
117619.0,22.0,6.0,0.0
117427.0,65.0,9.0,0.0
216424.0,20.0,6.0,0.0
143195.0,65.0,10.0,0.0
452821.0,30.0,16.0,0.0
341622.0,10.0,5.0,1.0
319943.0,8.0,11.0,0.0
261088.0,65.0,16.0,0.0
66257.0,65.0,8.0,0.0
404093.0,11.0,8.0,0.0
208241.0,25.0,10.0,0.0
491998.0,40.0,13.0,0.0
43341.0,40.0,5.0,0.0
368762.0,60.0,7.0,0.0
299620.0,10.0,7.0,0.0
42704.0,65.0,8.0,0.0
238846.0,15.0,8.0,0.0
111500.0,15.0,4.0,1.0
202633.0,45.0,10.0,0.0
309419.0,65.0,8.0,0.0
187322.0,5.0,7.0,0.0
14253.0,10.0,9.0,0.0
205356.0,28.0,9.0,0.0
32736.0,45.0,9.0,0.0
380421.0,30.0,7.0,0.0
490918.0,35.0,17.0,0.0
271217.0,10.0,4.0,1.0
178242.0,65.0,17.0,0.0
178540.0,65.0,6.0,0.0
316184.0,15.0,5.0,1.0
408293.0,35.0,4.0,0.0
76604.0,30.0,8.0,0.0
56776.0,65.0,3.0,0.0
180800.0,5.0,3.0,1.0
11555.0,65.0,7.0,0.0
36507.0,21.0,6.0,0.0
464917.0,30.0,12.0,0.0
313308.0,50.0,12.0,0.0
220007.0,30.0,9.0,0.0
38481.0,30.0,15.0,0.0
419813.0,35.0,6.0,0.0
163575.0,10.0,6.0,0.0
222004.0,40.0,11.0,0.0
68109.0,50.0,18.0,0.0
403029.0,60.0,7.0,0.0
65734.0,30.0,8.0,0.0
482123.0,45.0,11.0,0.0
523799.0,5.0,4.0,1.0
2712.0,45.0,7.0,0.0
44257.0,65.0,18.0,0.0
111565.0,65.0,7.0,0.0
36242.0,65.0,11.0,0.0
260329.0,15.0,11.0,0.0
285629.0,60.0,15.0,0.0
250473.0,30.0,8.0,0.0
339547.0,15.0,9.0,0.0
73644.0,30.0,7.0,0.0
145249.0,65.0,5.0,0.0
50737.0,27.0,3.0,0.0
110141.0,30.0,16.0,0.0
78262.0,35.0,12.0,0.0
350442.0,30.0,12.0,0.0
487738.0,65.0,18.0,0.0
168133.0,65.0,9.0,0.0
208139.0,30.0,10.0,0.0
445183.0,5.0,2.0,1.0
101461.0,65.0,10.0,0.0
39137.0,65.0,11.0,0.0
386762.0,65.0,17.0,0.0
124111.0,40.0,12.0,0.0
167482.0,30.0,9.0,0.0
227509.0,65.0,9.0,0.0
202670.0,50.0,9.0,0.0
434181.0,41.0,10.0,0.0
12520.0,25.0,9.0,0.0
279412.0,65.0,7.0,0.0
